location;pricePerSquareM
Chojnice;3014.179999999999
Dzierzgoń;2146.4499999999994
Gdańsk;8606.821666666661
Gdynia;7048.902000000002
Lębork;3289.7000000000003
Reda;5181.479999999997
Sopot;13975.159999999996
Starogard Gdański;5454.550000000002
bytowski;1938.7399999999998
gdański;2526.32
lęborski;2220.4599999999996
pomorskie;4500.0
pucki;4166.669999999999
starogardzki;3999.0500000000015
